Name	Easting	Northing
8CE16	724865.8509	3601911.777
8CE4	713277.6663	3582372.644
8CE42	695150.548	3583677.606
8SW71	688193.2854	3547589.417
8OU58	684566.7434	3525682.761
8CY1	684649.8617	3506520.016
8ER1	698607.3444	3484980.15
8ER103	687200.1448	3480611.985
1BR15	682062.1778	3534948.291
1JA102	693362.3175	3429341.05
1JA233	698108.3964	3414010.571
1JA19	698468.1554	3408785.825
1JA33	700873.0257	3406737.38
1JA63	700401.0413	3403849.585
1JA5	704425.3644	3399736.515
8SE14	699937.6287	3414567.658
8GD13	702766.4223	3390011.82
8LI8	697819.1209	3385010.363
1GU38	686830.7245	3302839.817
1GU60	682925.7093	3298151.365
1GU56	678951.6647	3297558.34
1BY9	629633.0422	3336694.939
1BY10	637591.9506	3334948.902
1BU73	638197.1338	3336799.37
1BY137	636679.4943	3331185.032
1BY24	638126.8852	3331861.532
8FR2	725331.4193	3304411.651
8FR4	752378.3473	3311993.02
8LE148	769363.1147	3371397.353
1WA8	757302.8565	3334135.524
1WA30	762638.9686	3338082.876
1WA13	771535.5991	3331709.658
