Assemblage,Deptford-Related Check Stamped,Fabric Impressed,Simple Stamped,Cord Marked,Santa Rosa Punctated,Curvilinear Complicated Stamped,Rectilinear Complicated Stamped,Santa-Rosa Related Stamped,Crystal River Negative Painted,Curvilinear Check Stamped,Ruskin Dentate,Red Filmed,Incised,Weeden Island-Related Punctated,Tucker Ridge Pinched,Net Marked,Cob Marked,Wakulla Check Stamped,Total
9ER1-TU7,0,0,0,2,0,83,0,0,0,0,1,6,10,4,1,0,0,1,108
9ER1-Md. A,0,0,0,0,0,97,0,0,0,0,0,21,2,1,0,0,0,0,121
9ER1-TU14,0,0,0,0,0,139,0,0,0,0,1,15,3,4,0,0,0,0,162
9ER1-U2-SSB,0,0,0,0,0,455,0,0,0,0,0,30,26,18,0,1,0,1,531
9ER1-Md. H,0,0,0,2,0,371,0,1,0,0,2,32,15,1,1,0,0,0,425
9ER1-U4-7-12,0,0,0,7,0,1810,0,0,0,0,0,68,23,27,3,3,0,5,1946
9ER1-Md. C,0,0,0,0,0,755,0,0,0,0,0,36,4,2,0,0,0,0,797
9ER1-U4-4-6,0,0,0,4,0,522,0,0,0,0,0,21,3,4,0,0,0,0,554
9SE33-Mid. G,0,0,2,2,0,397,0,0,0,0,0,10,4,3,0,1,0,0,419
8WA8-PI-6,0,0,0,0,0,131,2,0,0,0,0,0,2,3,0,0,0,0,138
9CE42,0,0,0,0,0,225,4,0,0,0,0,3,1,4,0,0,0,0,237
8BY73-40-80 cm,0,0,0,0,0,160,0,0,0,0,0,4,1,0,0,0,0,0,165
9ER1-TU17,0,0,0,0,0,214,0,0,0,0,4,3,1,0,0,0,0,1,223
9ER1-TU15,0,0,0,0,0,143,0,0,0,1,0,2,2,0,0,0,0,0,148
9ER1-TU10,0,0,0,0,0,266,0,0,0,0,0,7,0,0,0,0,0,0,273
9SE14-C,0,0,0,5,0,655,0,0,0,0,0,5,6,2,0,1,2,6,682
9ER1-U4-2-3,0,0,0,1,0,774,0,0,0,0,0,6,2,1,0,0,0,0,784
8JA63-0-6,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,237
8JA63-6-12,0,0,0,1,0,313,0,0,0,0,0,1,2,0,0,0,0,0,317
9ER1-TU6,0,0,0,0,0,297,0,0,0,0,0,0,0,1,0,0,0,0,298
8WA8-PI-7,0,0,0,0,0,143,1,0,0,0,0,0,0,0,0,0,0,0,144
8JA63-12-18,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,97
8GU38,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,81
