Assemblages,Weeden Island Plain,Deptford Plain,Swift Creek Plain,Fairchild's Plain,Cummings Plain,Sand-tempered Plain,Limestone Tempered Plain,Grit Tempered Plain,Smooth Plain,Plain or Residual Plain,Rough Plain,Roughened/Brushed,Franklin Plain,Micaceous Plainware,Unid Plain,Polished-Burnished,Pasco Plain,Papys Bayou Plain,Grog-tempered Plain,Fort Walton Plain,Shell Tempered Plain,Lamar Plain,Lake Jackson Plain,Fiber Tempered Plain,Norword Plain,St. Simons Plain,Stallings Plain,Check Stamped,Catersville Check Stamped,Deptford Bold Check Stamped,Deptford Linear Check Stamped,Gulf Check Stamped,Linear Check Stamped,McLeod Linear Check Stamped,St. Johns Check Stamped,Wakulla Check Stamped,Rectilinear Stamped,Crooked River Complicated Stamped,St. Andrews Complicated Stamped,Swift Creek Nested Diamond Stamped,Complicated Stamped,Curvilinear Complicated Stamped,Blakely Complicated Stamped,Brewton Hill Complicated Stamped,Fairchilds Complicated Stamped,Hare's Landing Complicated Stamped,Kolomoki Complicated Stamped,Little Kolomoki Complicated Stamped,Mulberry Creek Complicated Stamped,Napier Complicated Stamped,Pasco Complicated Stamped,Swift Creek Complicated Stamped,Lamar Complicated Stamped,Curvalinear Check Stamped,New River Complicated Stamped,Old Bay Complicated Stamped,Red Filmed,Dunn's Creek Red,Plain Red,Weeden Island Red,Weeden Island Zoned Red,Weeden Island Red/Zoned Red,Black Filmed,White Filmed,Simple Stamped,Catersville Simple Stamped,Deptford Simple Stamped,Mossy Oak Simple Stamped,Swift Creek Simple Stamped,Thomas Simple Stamped,Thomasville Simple Stamped,Fiber Tempered Simple Stamped,Cord Marked,Dunlap Corded,Fairchild's Cordmakred,West Florida Cord Marked,Alachua Cobmarked,Northwest Florida Cob Marked,Punctated,Carrabelle Punctated,Linear Punctated,Santa Rosa Punctated,Weeden Island Punctated,Zone Punctated,Fiber Temper Punctate,Stallings Punctate,Santa Rosa Stamped,Rocker Stamped,Alligator Bayou Stamped,Fiber Tempered Punctate-Incised,Net Marked,Mound Field Net Marked,Fabric Impressed,Dunlap Fabric Marked,Kellog Fabric Impressed,Incised,Punctate and Incised,Basin Bayou Incised,Carrabelle Incised,Cyrstal River Incised,Englewood Incised,Indian Pass Incised,Keith Incised,Lemon Bay Incised,St Petersburg Incised,Swift Creek Arc Incised,Weeden Island Incised,Weeden Island Incised-Punctated,Yokene Incised,Alexander Incised,Fiber Temper Incised,Pinellas Incised,Lamar Bold Incised,Fort Walton Incised,Tucker Ridge Pinched,Crystal River Negative Painted,Ruskin Dentate,Shell Stamped,Hillsborough Series,"Impressed, Other",Dentate & Simple Stamped,Punctate & Check Stamped,Indeterminate Stamped,Fort Walton Roughened,Unclassified,Total
8BY24,49,0,0,0,0,0,0,0,28,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,9,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,9,731
8GD13-Below Shell,0,0,0,0,0,0,0,0,56,0,224,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,524
8FR4-9-2,0,0,0,0,0,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,183
1CC53,116,0,0,0,0,0,0,0,0,5896,0,0,0,53,0,0,0,0,2,0,46,0,0,107,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,30,0,0,36,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,1,3,0,0,0,40,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,130,7194
8FR4-10-6,0,0,0,0,0,187,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,341
8JA19,39,0,0,0,0,300,0,0,167,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,745
8JA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,10,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
8BY9,63,0,0,0,0,0,0,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,3,3,0,0,0,3,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,6,0,40,286
9SE33-Mid E,0,0,0,0,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,2,18,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1738
8WA8-PI-2,82,0,0,0,0,0,0,0,40,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1690
